Microsoft,$3.049 T,$410.34 ,USA
MSFT,,,
,,,
Apple,$2.818 T,$182.52 ,USA
AAPL,,,
,,,
Saudi Aramco,$2.065 T,$8.54 ,S. Arabia
2222.SR,,,
,,,
NVIDIA,$1.970 T,$788.17 ,USA
NVDA,,,
,,,
Amazon,$1.817 T,$174.99 ,USA
AMZN,,,
,,,
Alphabet (Google),$1.798 T,$145.29 ,USA
GOOG,,,
,,,
Meta Platforms (Facebook),$1.233 T,$484.03 ,USA
META,,,
,,,
Berkshire Hathaway,$905.29 B,$417.22 ,USA
BRK-B,,,
,,,
Eli Lilly,$731.18 B,$769.54 ,USA
LLY,,,
,,,
TSMC,$671.79 B,$129.53 ,Taiwan
TSM,,,
,,,
Tesla,$611.38 B,$191.97 ,USA
TSLA,,,
,,,
Broadcom,$606.88 B,"$1,296 ", USA
AVGO,,,
,,,
Visa,$582.53 B,$283.60 ,USA
V,,,
,,,
Novo Nordisk,$550.96 B,$123.45 ,Denmark
NVO,,,
,,,
JPMorgan Chase,$529.95 B,$183.99 ,USA
JPM,,,
,,,
UnitedHealth,$487.65 B,$527.24 ,USA
UNH,,,
,,,
Walmart,$472.64 B,$175.56 ,USA
WMT,,,
,,,
LVMH,$459.73 B,$920.32 ,France
MC.PA,,,
,,,
Mastercard,$441.64 B,$473.42 ,USA
MA,,,
,,,
Exxon Mobil,$412.34 B,$103.84 ,USA
XOM,,,
,,,
Johnson & Johnson,$389.83 B,$161.84 ,USA
JNJ,,,
,,,
Procter & Gamble,$378.90 B,$161.03 ,USA
PG,,,
,,,
Home Depot,$370.19 B,$371.96 ,USA
HD,,,
,,,
ASML,$368.25 B,$933.25 ,Netherlands
ASML,,,
,,,
Samsung,$366.06 B,$54.77 ,S. Korea
005930.KS,,,
,,,
Tencent,$351.51 B,$36.95 ,China
TCEHY,,,
,,,
Merck,$328.02 B,$129.45 ,USA
MRK,,,
,,,
Costco,$327.44 B,$737.93 ,USA
COST,,,
,,,
Toyota,$316.87 B,$235.00 ,Japan
TM,,,
,,,
AbbVie,$314.59 B,$178.09 ,USA
ABBV,,,
,,,
Oracle,$307.74 B,$111.95 ,USA
ORCL,,,
,,,
Kweichow Moutai,$299.28 B,$238.24 ,China
600519.SS,,,
,,,
Nestlé,$288.70 B,$108.21 ,Switzerland
NESN.SW,,,
,,,
Chevron,$286.27 B,$154.66 ,USA
CVX,,,
,,,
AMD,$285.21 B,$176.52 ,USA
AMD,,,
,,,
Salesforce,$283.43 B,$292.80 ,USA
CRM,,,
,,,
Bank of America,$267.04 B,$33.92 ,USA
BAC,,,
,,,
Coca-Cola,$263.92 B,$61.20 ,USA
KO,,,
,,,
Hermès,$260.88 B,"$2,491 ", France
RMS.PA,,,
,,,
L'Oréal,$260.61 B,$487.39 ,France
OR.PA,,,
,,,
Netflix,$252.54 B,$583.56 ,USA
NFLX,,,
,,,
ICBC,$251.32 B,$0.53 ,China
1398.HK,,,
,,,
Adobe,$250.15 B,$553.44 ,USA
ADBE,,,
,,,
Reliance Industries,$243.99 B,$36.06 ,India
RELIANCE.NS,,,
,,,
International Holding Company,$238.59 B,$108.77 ,eu UAE
IHC.AE,,,
,,,
Accenture,$236.57 B,$377.32 ,Ireland
ACN,,,
,,,
Pepsico,$233.10 B,$169.60 ,USA
PEP,,,
,,,
PetroChina,$221.00 B,$1.26 ,China
601857.SS,,,
,,,
Thermo Fisher Scientific,$218.18 B,$564.71 ,USA
TMO,,,
,,,
Linde,$217.01 B,$447.56 ,UK
LIN,,,
,,,
SAP,$215.48 B,$184.22 ,Germany
SAP,,,
,,,
McDonald,$215.01 B,$297.75 ,USA
MCD,,,
,,,
Novartis,$212.77 B,$103.90 ,Switzerland
NVS,,,
,,,
Roche,$212.17 B,$263.74 ,Switzerland
ROG.SW,,,
,,,
Abbott Laboratories,$207.28 B,$119.46 ,USA
ABT,,,
,,,
Shell,$206.73 B,$63.93 ,UK
SHEL,,,
,,,
AstraZeneca,$204.09 B,$65.83 ,UK
AZN,,,
,,,
Agricultural Bank of China,$202.02 B,$0.59 ,China
601288.SS,,,
,,,
Cisco,$197.84 B,$48.86 ,USA
CSCO,,,
,,,
Walt Disney,$197.62 B,$107.74 ,USA
DIS,,,
,,,
T-Mobile US,$195.05 B,$164.34 ,USA
TMUS,,,
,,,
Wells Fargo,$192.68 B,$53.86 ,USA
WFC,,,
,,,
Alibaba,$191.00 B,$75.96 ,China
BABA,,,
,,,
China Mobile,$190.78 B,$8.67 ,China
0941.HK,,,
,,,
Danaher,$187.76 B,$253.84 ,USA
DHR,,,
,,,
Intuit,$184.70 B,$659.81 ,USA
INTU,,,
,,,
Intel,$181.76 B,$42.99 ,USA
INTC,,,
,,,
Tata Consultancy Services,$176.98 B,$48.92 ,India
TCS.NS,,,
,,,
QUALCOMM,$172.87 B,$154.91 ,USA
QCOM,,,
,,,
Verizon,$170.94 B,$40.66 ,USA
VZ,,,
,,,
Pinduoduo,$169.64 B,$127.69 ,China
PDD,,,
,,,
IBM,$169.58 B,$185.72 ,USA
IBM,,,
,,,
Bank of China,$168.52 B,$0.64 ,China
601988.SS,,,
,,,
General Electric,$166.87 B,$153.33 ,USA
GE,,,
,,,
Comcast,$166.42 B,$41.90 ,USA
CMCSA,,,
,,,
Applied Materials,$164.04 B,$197.16 ,USA
AMAT,,,
,,,
China Construction Bank,$162.57 B,$1.00 ,China
601939.SS,,,
,,,
